Pattern_Amp_CH-1	Pattern_Amp_CH-2	Pattern_Amp_CH-3
0.591627	0.140986	0.267387
0.591782	0.140744	0.267474
0.591941	0.140493	0.267565
0.592113	0.140233	0.267654
0.592297	0.139966	0.267736
0.592492	0.139695	0.267814
0.59269	0.139417	0.267893
0.592884	0.139135	0.267981
0.593071	0.138853	0.268076
0.593253	0.138577	0.26817
0.593426	0.138313	0.26826
0.593591	0.138061	0.268348
0.593759	0.137804	0.268438
0.593936	0.137536	0.268528
0.59412	0.137263	0.268617
0.594306	0.136984	0.26871
0.594486	0.136699	0.268814
0.594652	0.136422	0.268926
0.594799	0.136167	0.269034
0.594933	0.135936	0.269131
0.595071	0.135718	0.269211
0.595231	0.135497	0.269272
0.595395	0.135278	0.269328
0.595544	0.135062	0.269394
0.595683	0.134842	0.269475
0.59583	0.134613	0.269557
0.595992	0.134381	0.269627
0.596165	0.134149	0.269686
0.596342	0.133915	0.269743
0.596519	0.133674	0.269807
0.596695	0.133428	0.269877
0.596865	0.133185	0.269949
0.597026	0.132952	0.270022
0.597178	0.132727	0.270095
0.597327	0.132499	0.270174
0.597477	0.132268	0.270256
0.597627	0.132037	0.270335
0.597776	0.131812	0.270412
0.597923	0.131592	0.270485
0.598067	0.131375	0.270558
0.598215	0.131153	0.270633
0.598369	0.130926	0.270705
0.598532	0.130693	0.270775
0.598703	0.130446	0.270851
0.598879	0.130185	0.270936
0.599057	0.129914	0.271029
0.599229	0.129637	0.271134
0.599397	0.129358	0.271245
0.599569	0.129075	0.271356
0.599747	0.128783	0.271471
0.59993	0.128485	0.271585
0.60012	0.128186	0.271694
0.600307	0.127889	0.271804
0.600499	0.127587	0.271914
0.600703	0.127276	0.272021
0.600911	0.126966	0.272123
0.601123	0.126654	0.272222
0.601344	0.126335	0.272321
0.601563	0.126013	0.272425
0.60177	0.125685	0.272545
0.601977	0.125343	0.272679
0.602184	0.124991	0.272824
0.602374	0.124641	0.272985
0.602541	0.124297	0.273162
0.602708	0.123951	0.273341
0.602893	0.123595	0.273513
0.603097	0.123227	0.273677
0.603314	0.122848	0.273838
